State,Week_Ending,"Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026"
,,Location,Weekly Average,Weekly Change,Variation,Weekly low,Weekly high
Queensland,"Week ending Sunday, 5th April  2026",Gympie,246.1,-10.5,+6.9,234.2,260.1
Queensland,"Week ending Sunday, 5th April  2026",Hervey Bay,255.2,-6.1,+16.1,245.7,272.7
Queensland,"Week ending Sunday, 5th April  2026",Ingham,238.3,-16.1,-0.8,225.0,259.9
Queensland,"Week ending Sunday, 5th April  2026",Innisfail,234.6,-16.0,-4.5,223.9,254.9
Queensland,"Week ending Sunday, 5th April  2026",Ipswich,239.3,-12.0,+0.1,226.8,259.1
Queensland,"Week ending Sunday, 5th April  2026",Kingaroy,233.5,-15.1,-5.7,222.2,251.7
Queensland,"Week ending Sunday, 5th April  2026",Longreach,275.4,4.5,+36.3,275.4,275.4
Queensland,"Week ending Sunday, 5th April  2026",Mackay,242.5,-13.9,+3.4,231.4,259.7
Queensland,"Week ending Sunday, 5th April  2026",Mareeba,246.9,-10.1,+7.8,238.8,261.1
Queensland,"Week ending Sunday, 5th April  2026",Maryborough,236.9,-11.8,-2.2,226.5,252.8
Queensland,"Week ending Sunday, 5th April  2026",Miles,233.1,-16.5,-6.0,222.9,253.0
Queensland,"Week ending Sunday, 5th April  2026",Moranbah,254.9,-9.3,+15.8,244.7,270.0
Queensland,"Week ending Sunday, 5th April  2026",Mount Isa,261.7,-7.5,+22.5,255.2,274.0
Queensland,"Week ending Sunday, 5th April  2026",Rockhampton,241.4,-14.3,+2.3,230.8,260.7
Queensland,"Week ending Sunday, 5th April  2026",Roma,239.0,-14.4,-0.1,229.1,257.6
Queensland,"Week ending Sunday, 5th April  2026",Sunshine Coast,240.8,-11.7,+1.6,229.2,259.1
Queensland,"Week ending Sunday, 5th April  2026",Toowoomba,243.5,-10.3,+4.4,233.5,259.2
Queensland,"Week ending Sunday, 5th April  2026",Townsville,237.9,-15.5,-1.3,227.2,257.8
Queensland,"Week ending Sunday, 5th April  2026",Tully,240.9,-12.8,+1.7,228.7,259.3
Queensland,"Week ending Sunday, 5th April  2026",Warwick,231.9,-20.0,-7.2,220.3,254.3
Queensland,"Week ending Sunday, 5th April  2026",Weipa,281.6,6.4,+42.5,280.9,282.9
Queensland,"Week ending Sunday, 5th April  2026",Whitsunday,240.6,-16.3,+1.5,229.4,259.4
Queensland,"Week ending Sunday, 5th April  2026",Yeppoon,238.7,-16.3,-0.4,227.5,259.4
South Australia,"Week ending Sunday, 5th April  2026",South Australian State Average,237.7,-17.8,+1.1,225.4,259.8
South Australia,"Week ending Sunday, 5th April  2026",Adelaide,236.7,-18.5,-,224.1,259.5
South Australia,"Week ending Sunday, 5th April  2026",South Australian Regional Average,240.8,-15.8,+4.1,229.2,260.5
South Australia,"Week ending Sunday, 5th April  2026",Bordertown,241.9,-12.7,+5.3,226.8,257.8
South Australia,"Week ending Sunday, 5th April  2026",Ceduna,251.8,-14.5,+15.1,242.8,267.0
South Australia,"Week ending Sunday, 5th April  2026",Clare,242.5,-15.3,+5.8,231.6,259.6
South Australia,"Week ending Sunday, 5th April  2026",Coober Pedy,290.2,8.5,+53.5,290.2,290.2
South Australia,"Week ending Sunday, 5th April  2026",Kadina,238.3,-19.7,+1.7,225.3,259.9
South Australia,"Week ending Sunday, 5th April  2026",Keith,239.5,-15.9,+2.8,227.0,259.4
South Australia,"Week ending Sunday, 5th April  2026",Loxton,238.9,-18.1,+2.2,227.3,259.5
South Australia,"Week ending Sunday, 5th April  2026",Mount Gambier,241.9,-11.8,+5.3,231.8,257.8
South Australia,"Week ending Sunday, 5th April  2026",Murray Bridge,240.9,-17.0,+4.2,228.1,261.9
South Australia,"Week ending Sunday, 5th April  2026",Naracoorte,241.9,-14.4,+5.2,230.8,259.1
South Australia,"Week ending Sunday, 5th April  2026",Port Augusta,239.6,-15.9,+2.9,228.3,260.2
South Australia,"Week ending Sunday, 5th April  2026",Port Lincoln,237.0,-18.8,+0.4,224.0,259.6
South Australia,"Week ending Sunday, 5th April  2026",Port Pirie,245.1,-15.0,+8.4,234.8,264.3
South Australia,"Week ending Sunday, 5th April  2026",Renmark,244.1,-12.0,+7.4,232.8,262.0
South Australia,"Week ending Sunday, 5th April  2026",Tailem Bend,237.1,-18.5,+0.4,224.5,258.7
South Australia,"Week ending Sunday, 5th April  2026",Victor Harbour,236.6,-18.9,-0.1,223.7,259.8
South Australia,"Week ending Sunday, 5th April  2026",Whyalla,237.9,-17.3,+1.3,226.6,259.5
Western Australia,"Week ending Sunday, 5th April  2026",Western Australian State Average,239.0,-15.8,+2.5,226.1,257.3
Western Australia,"Week ending Sunday, 5th April  2026",Perth,236.5,-17.3,-,222.9,255.8
Western Australia,"Week ending Sunday, 5th April  2026",Western Australian Regional Average,248.1,-10.5,+11.6,236.7,262.7
Western Australia,"Week ending Sunday, 5th April  2026",Albany,250.2,-8.0,+13.7,240.1,262.7
Western Australia,"Week ending Sunday, 5th April  2026",Boulder,242.3,-17.5,+5.8,230.1,264.2
Western Australia,"Week ending Sunday, 5th April  2026",Bridgetown,248.2,-8.1,+11.7,241.0,258.8
Western Australia,"Week ending Sunday, 5th April  2026",Broome,270.2,-16.1,+33.7,257.8,287.7
Western Australia,"Week ending Sunday, 5th April  2026",Bunbury,241.6,-11.5,+5.1,229.0,257.2
Western Australia,"Week ending Sunday, 5th April  2026",Busselton,242.6,-9.8,+6.1,231.9,256.6
Western Australia,"Week ending Sunday, 5th April  2026",Carnarvon,258.2,-12.6,+21.7,242.2,276.2
Western Australia,"Week ending Sunday, 5th April  2026",Dongara,247.5,-12.5,+11.0,236.7,263.4
Western Australia,"Week ending Sunday, 5th April  2026",Esperance,248.0,-13.4,+11.5,236.0,262.9
Western Australia,"Week ending Sunday, 5th April  2026",Geraldton,247.5,-9.2,+11.0,235.1,261.1
Western Australia,"Week ending Sunday, 5th April  2026",Kalgoorlie,245.3,-12.2,+8.9,232.5,261.5
Western Australia,"Week ending Sunday, 5th April  2026",Karratha,248.2,-16.0,+11.7,234.9,268.8
Western Australia,"Week ending Sunday, 5th April  2026",Manjimup,254.5,-5.1,+18.0,247.4,264.0
Western Australia,"Week ending Sunday, 5th April  2026",Mount Barker,254.8,-1.7,+18.3,247.9,263.9
Western Australia,"Week ending Sunday, 5th April  2026",Port Hedland,258.6,-12.3,+22.1,246.3,275.5
Western Australia,"Week ending Sunday, 5th April  2026",Waroona,268.0,2.9,+31.5,262.9,274.8
Tasmania,"Week ending Sunday, 5th April  2026",Tasmanian State Average,239.0,-18.3,+0.8,227.2,259.2
Tasmania,"Week ending Sunday, 5th April  2026",Hobart,238.2,-18.4,-,226.4,257.8
Tasmania,"Week ending Sunday, 5th April  2026",Tasmanian Regional Average,239.6,-18.2,+1.4,227.9,260.2
Tasmania,"Week ending Sunday, 5th April  2026",Burnie,239.1,-18.8,+0.9,226.9,258.4
Tasmania,"Week ending Sunday, 5th April  2026",Devonport,238.9,-17.6,+0.8,228.3,258.7
Tasmania,"Week ending Sunday, 5th April  2026",Huonville,239.2,-21.0,+1.0,226.4,262.1
Tasmania,"Week ending Sunday, 5th April  2026",Launceston,239.1,-17.9,+0.9,227.7,259.8
Tasmania,"Week ending Sunday, 5th April  2026",New Norfolk,239.9,-19.0,+1.7,226.0,263.3
Tasmania,"Week ending Sunday, 5th April  2026",Smithton,240.9,-16.5,+2.7,228.0,261.9
Tasmania,"Week ending Sunday, 5th April  2026",Sorell,241.3,-15.3,+3.1,225.1,258.6
Tasmania,"Week ending Sunday, 5th April  2026",Ulverstone,244.6,-19.9,+6.4,231.0,266.5
Tasmania,"Week ending Sunday, 5th April  2026",Wynyard,238.1,-19.1,-0.0,226.6,258.6
Northern Territory,"Week ending Sunday, 5th April  2026",Northern Territory State Average,252.8,-10.6,+10.5,244.5,268.7
Northern Territory,"Week ending Sunday, 5th April  2026",Darwin,242.3,-16.2,-,230.4,264.2
Northern Territory,"Week ending Sunday, 5th April  2026",Northern Territory Regional Average,281.6,4.6,+39.3,274.2,286.0
Northern Territory,"Week ending Sunday, 5th April  2026",Alice Springs,289.7,0.9,+47.4,284.2,292.8
Northern Territory,"Week ending Sunday, 5th April  2026",Katherine,256.9,14.3,+14.6,241.3,268.9
Northern Territory,"Week ending Sunday, 5th April  2026",Tennant Creek,269.0,16.2,+26.7,269.0,269.0
